anchor,positive,hard_negative
T Lac 10mg,Ket,Moximed K
R Flix Dry,Quix CD 100mg,R Flix-OF
Trucef 200mg,Abixim 200,Trucef 1000mg
Axolap 1000,Xari 1000mg,Elores 3000mg
Decifen SP 50mg/10mg,Waser-D,Decifen 50mg
Coldvec Oral,Avcold,Lupisetron Plus 4 mg/500 mg
Acedex P 100mg/325mg,Zubidol P 100mg/325mg,Tye 325mg/20mg
Snocef 500mg,Bioceftrix 1000mg,Snocef 200mg
Urcef 1000mg,Yevozen 1000mg,Urcef 200mg
Fine APS,Synergy 100mg/500mg,Sinarest LP
Acesoft-MR,Elnac P,Acesol 200 SR
Frankof,Kufquit D,Frankee D 30mg/40mg
Sasucef 1000mg,Rutocef 1000mg,Sasucef S 1000mg/500mg
Lamol SP,Nuheal,Lamol 650mg
Algic 200mg,Amn 200mg,Eprytor-Plus
Delxone SB 500mg/250mg,CS 2,Delxone 500mg
Bilactam 100mg,Xf 50mg Dry,Zifi CV 50 DT
Dieclo MR,Riclo-MR,Dieclo
Seronac 50 mg/10 mg,Serradic 50mg/10mg,Seronixt-F 500
Molinac-P,Saglofen-SP,Surenim-P
Surecef 500mg,Luke 250mg,Surecodip
Jiyomox LB 500mg,Moxicot 250mg,Jiyomic 500mg
Dolsym M,Mgmic-P DS,Dolsym T 100mg/4mg
Seratop D 50 mg/10 mg,Rigadic S 50mg/10mg,Jusgo Pan 75 mg/40 mg
Medfix Forte 100mg Dry,Xave 100mg,Ridhicef-O 200mg/200mg
Vomifab 4mg,Ridvom-Kid,Myset R 4mg/150mg
P 120,Oromol A 150mg,Flamon P 400mg/325mg
Vogloyd 0.2,Vogdol 0.3,Voglow M 500mg/0.2mg
Betagesic K 10mg,Ketolas 30mg,Betagold 24mg
Dcag S 50mg/10mg,Ultrasir 50mg/10mg,Dcag-SP
Axitrix 1000mg,Wilone 250mg,Axitrix V 1000mg/500mg
Rabiros IT 20 mg/150 mg,Rabesym IR 20mg/150mg,Rabirax LSP 75mg/20mg
Reanxone 500mg,Ntcef 1000mg,Reanxone SB 1000mg/500mg
Xefry 500mg,Truxone 1000mg,Elores 2000mg
Evoclob Plus,Tezcort GM,Evoclav-LB 625
Topdase 50mg/10mg,Dixsure-S,Acelife Plus 500 mg/15 mg
Cimic Cold,Hynic-Plus Syrup Mixed Fruit,Ucotus-D
Dxpime TZ 250mg/31.25mg,Drapime TZ 1.125gm,Potentox 250 mg/1000 mg
Sayofen 100mg,Aeronac,Drolex
Serlox TZ 200mg/600mg,Ofnida,Serlox M
Bisolvon 8mg,Bromex Kid,Bisolor AM 5mg/5mg
Robipan-IT,Rabisal IT 20mg/150mg,Robipan DSR
Biocef 1g,Efoceft 1000mg,Biocep 100mg
Enderm gm,Topzee M,Enderm Plus
Torxime 50mg,Axim 200mg,Torxime O 200mg/200mg
Rabtree-IT 20mg/150mg,Zomart IT 20mg/150mg,Rabtry LS 75mg/20mg
Movace P,Acrofen SP,Movacarb 50mg
Zeldom O,Nucool O,Ulcoat Ano Rectal
Kapitron 4mg,Vomicap 4mg,Kapitra 200mg
Cuzen DP,Fenozil-D 50mg/10mg,Aviflox ST 200mg/15mg
Rocefen-MR,Avifenac-P Oral Suspension Mango,Nircold
Egakof-D Syrup Sugar Free,Kuffery-DX Dry,Egakof-T
Finetriax 1000mg,Cefera 1000mg,Elores 2000mg
Rofina-SP,Hilnac-MR,Rofinol P 25mg/500mg
Grapzone-S,Taxon-S 375,Grapzone-T
MyVobo 0.3mg,Voliphage 0.3,MyVobo 0.3 M
Repam 10mg,Restotab 5mg,Repamet 1mg/500mg
Ecoglip-T,Tenlipure 20mg,Ecoglim 1mg
Mizocef 200mg,Jenfix 100 DT,Mizocet 5mg
Flarid D 50mg/10mg,Bioser-D,Flarid 150mg
Lutica M,Supirocin F,LUTICA (SUN)
Moudzer 100mg/325mg,Acokryp P 50mg/125mg,Moudzer TH 100mg/4mg
Unocef,JETEX 50MG,Wanixim AZ 200mg/250mg
Xyloact-D,Serpic 50mg/10mg,Xyloact
Jancef 50mg,Hi-Cef 50mg,SI Fixim XL Kid
Alfanage 10mg/0.5mg,Sterdu L 10 mg/0.5 mg,Alfanez 150mg
Synid P,Afecox 100 mg/325 mg,Synid R 200mg/20mg
Hicef S 1000mg/500mg,Glacef SB 1000mg/500mg,Hicef 100 Dry
Dizep 5mg,Paxum 5mg,Dizepax M
Oflostar TZ,Gross TZ 200mg/600mg,OFLOSTAR TABLET 200 MG
Fixiriv 100 DT,Zeftis 100mg,Fixiriv 200 LB
Ace Plus Oral,Bye-Cold-DS,Aceplee TH 100mg/8mg
Doliprane,Rexpol 650,Doliprane N 100 mg/500 mg
Ricxone S 1000mg/500mg,Vcef 1000 mg/500 mg,Ricxone 500mg
Cefexon 1000mg,Medoxone 1gm,Zutex-S 1gm/0.5gm
Cefixain 400mg,Welxime 100mg,Dcefi LB 200mg
Racia P 100mg/325mg,Amice 100mg/500mg,Racia TH 100mg/4mg
Celfast 200mg,Kaynac 200mg,Astofen TC
Henpar 650 DT,Hitpain 500mg,Henpar-D
Ondistar,Odonet 4mg,Renvorab-ON
Cefill 200mg,Ceffo 100 Dry,Cefill 200 LB
Monotax SB 1000mg/500mg,Oframax Forte 250mg/125mg,Monotax 2000mg
Bloomish,Melapik Plus,UV-Tec
Mizoc,Lucobet GM,Mizocef O 200mg/200mg
Ace 250mg,Paranof 650,ACE 250MG/250MG
Paedisone 0.05%,Sterisone,Paedisone MF
Linix 200,Loraxim Dry,Linix-O
Femicef S 1000mg/500mg,Triczon S 500mg/250mg,Femic P
Cf3 O 200mg,Baxim-LB 200,Vexifix DL 200mg/500mg
Dgcef 250mg,Tycet 500mg,Dgcef T 1000mg/125mg
Zonim 100mg,Gensulide 100mg,Nimuzox
Acegesic 100 mg/325 mg,Sunace P 100mg/325mg,Acegesic 100mg
Wanixim AZ 200mg/250mg,Ceftas AL 200mg/60mg/40 Millioncells,Wanixim CV 200mg/125mg
Omnicef-O 200mg,Nbcef Dry,Omnicef 250mg
Kapocef 100mg,Cerime 400mg,Kapocef CV 200mg/125mg
Orceft S 1000mg/500mg,Zutex-S 250mg/125mg,Ceftozom S 1000mg/500mg
Mef P 500mg/500mg,Fevel M,Myosone Plus
Ranicold P,Deflu-Plus,Lorivib-P
Elebact 50mg,Novfix 50mg Dry,Elebact LB 200mg
Fixi 1000mg,Riaxol 500mg,Fixi 100mg
CENOCEF 50MG,Cefimas 200mg,Cenocef LB 200mg
Cefal CS 1000mg/500mg,Bioceftrix-S 1.5,Cefalobid 250mg
Onbit,Vomilac 2mg,Anset OR 4mg/150mg
Sonicef 100mg,Catcef 50mg Dry,Sonicef OZ 200mg/500mg
Dase D 50mg/10mg,Seravir D 50 mg/10 mg,Dase DP
Cefivolk 100mg,Theoxime 100mg,Sunex O Dry
Mefkin Forte 500mg/450mg,Rbpara M,Mefkind P 100mg
Gramocef 100mg,Nexcef 200mg,Gramocef 1000mg
Rabmak IT 20mg/150mg,Rabexin-IT,Rabmac 20mg
Hydrocl 25mg,Hydrazide 25,Co-Diovan 80/12.5
Ceftwor 500mg,Resef 500mg,Ceft Well T 250mg/31.25mg
Cifisel 200mg,Uxime 400mg,Cifisel O 200mg/200mg
Atnemol MF 250mg/325mg,Noril-P,Veldix P 25 mg/500 mg
Antimol 250,Glonac 250mg,Antimal Dry
Koldamed DS,Rynkold-DS,Koldar
Nosocef 1000mg,Ceforf 1000mg,Elores 3000mg
City D Plus,Gocold Plus,City D
Orfix 50mg,Asxime 50mg/5ml,ORFIX CV TABLET 200 MG/125 MG
Astincold,Acukold,Astin 20
Tocoderm NF +,Exel M Skin,Tocoderm Plus
Betavog 0.3mg,Volabay 0.2,Voglinorm-R
Kefixim 200mg,Bilactam 100mg,Cefi L 400 mg/500 mg
Diconiv S 50mg/10mg,SD 75 mg/15 mg,Diconan 25mg
SAMONEC MR,Acecott P 100mg/325mg,Razberg ACE
Acefinac 100mg,Okanac 100mg,Acefile P Oral Suspension Pineapple
Torget Plus 10,Torlactone 20mg,Torget 40
Vermef ET 250mg/250mg,Cetham TX 250mg/250mg,Vermectin 12mg
Prozen 100mg,Prozine 200mg,Prozes 200mg
Trunit SR 100,Bladon NF 100mg,Trunim P 100mg/500mg
Jescold Oral Suspension Raspberry,Coufcold Kid Oral,X Tus D
Zifi 400mg,Addcef 200 DT,Sifix-CV 200mg/125mg
Cucin-T 200mg/600mg,Oftar TZ 200mg/600mg,Terbicort-Total
Acemo SP,Mbpera-P,Acemol D 50mg/325mg
Zylocef 100mg,Lycxim 100mg,Zylocef T 500 mg/62.5 mg
Sonoxone S 1000mg/500mg,Epixone-SL 250mg/125mg,Sonoxime Dry
Rosifix 100mg,Orefix 100mg,Rosifix LB 200mg
Liberache 100mg/325mg,Ofnac P 100mg/325mg,LIBERTA 0.5 MG
Ktrol 10mg,Ketroc 10mg,Ktrol 0.3mg
Coldip DS,Coldmox,Pyeevon Spas
Xetra-S 1gm/500mg,Cefwor S 1000mg/500mg,Xetra T 1000mg/125mg
Cerafen 50mg/10mg,Tidifenac S 50mg/10mg,Ceraf 200mg
Elaxic P 100 mg/500 mg,Snapace-Plus,Elaxic
Nusaid MR,Aefen MR,Nusaid 100mg
Talmin 650mg,Fev-OK,Pam TH 500mg/4mg
Achetiva-SP,Acezol SP,Etosafe-P
Hivolt P,Acenod-S,Koldar
Histacold DPS Oral,Zecold Kid,Cofmin PD
Tuscold JR,NV-Cold-Junior,Tuscold-AF Oral
Vogic 0.3mg,Prandial 0.3 MD,Vogic GM 1
Glocef 100mg,Cefurub 100mg,Glocef 1000mg
Protil 5mg,Westel 5mg,Protinz 0.25mg
Zeropain AP 100mg/500mg,Zionac P 100mg/325mg,Dyonest-P
Effimax S 500 mg/250 mg,Junicef-S 250mg/125mg,Effimax Plus 500 mg/250 mg
Remosil P 100mg/325mg,Mednac,Terizine Plus
Onsurge 4mg,Emmevoiz 2mg,Pantrum-O
Apexim 200mg,Encef 200mg,Apexitra 100
Prandial 0.3 MD,Voglicip 0.2mg,Prandial M 0.3
Synof Kid,Histadol PD Oral,Synofex 250mg
Trofen Plus,Painrelax,Trofentyl 50mcg
Fleminol MR,Multizox,Flemiklox LB Kid
Kryptovom,Vond 4mg,Kryptonac P 50mg/325mg
Femtrax 500mg,Spectacef 500mg,Femtrax SB 1000mg/500mg
Ceftoract S 1000mg/500mg,Axonit S 1000mg/500mg,Fumiget 1000mg/500mg
Hydrogen Peroxide 6%,Peroxita,Hydrox L 500mg
Trifect,Algina 125mg/5ml,Trifenac-AP 100mg/500mg
Haemarex Plus 250mg/250mg,Capicare Plus 250mg/250mg,Haemaprot 1.4mg
Locorex 1000mg,Emtrix 500mg,Locorex S 1000mg/500mg
Epixime 100mg,Brutacef 200mg,Epixime 200mg/125mg
Aeronac Plus 100 mg/500 mg,Gesipara-SP,Aeronac
GT-Cef 100mg,Cefclik 50mg Dry,GT-Cef 500
Minus D 75mg/15mg,Dicka XP,Minuslide P
Jefex 100 DT Tablet Pineapple,Matchfix 200mg,Jefex 200 LB Tablet Pineapple
Acegesic P 100mg/500mg,Medac P 100mg/325mg,Acegesic 100mg
Nimlee 100mg,Anafebrin 50mg,Nimley-P 100mg/325mg
Zunac 200mg,Locet 200mg,Zunac P 100mg/500mg
Racef O 50mg Dry,Topcare 200mg,Adencef LB 200mg
Rutocef 500mg,Morbifix 250mg,Rutocef S 1000mg/500mg
Geopara 650,Lotemp 250mg,Wanoxicam P 8mg/325mg
Yeclo 100mg,Canefo 100mg,Yeclo D 100mg/50mg
Fenium 100mg,Snufix 50mg,Fenium CV 200mg/125mg
Itrex 1000mg,Monodyme 1000,Itrex S 250mg/125mg
Cfelocef 100mg,Orwicef 200mg,Linox Total
Sitapride 50mg,Alsita 100mg,Sitapride-M 100/500
Dayfixi 100mg,Aploxim 200mg,Dayfixx-LB
Aconcef 200,Hifen 50mg Redimix,Aconcef O 200mg/200mg
Welden,Emless 4mg,Panaqua O 40mg/4mg
Procarb 50mg,Hodpro 50mg,Procalm 0.25mg
Asicef 200mg,Refexim 200mg,Asicet 5mg
Orcetrix 500mg,Astixone 1000mg,Acef TZ 250mg/31.25mg
Catrix 200mg,Flexifen 100mg,Catrisol 0.5mg
Meliore,New Tixylix,Meliore DX 6mg
Giobact-S 375,Monozen SB 1000mg/500mg,Elores 1.5gm
Hoxace Plus 100mg/325mg,Acenez-P 100mg/500mg,Hoxaclav 875mg/125mg
Losacraft H 50mg/12.5mg,Sarcan H 50mg/12.5mg,Niavas D 5mg/12.5mg
Niricef 100mg,Linemac 100mg,Niricef 200 LB
Actopar-M Oral Suspension Orange,Atgesic-M,L Citrimin Plus
Zyline TR 5mg/400mg,Doxoll-TL 5mg/400mg,Aid-Air-AB
Qucef 50mg Dry,Cefect 100mg,Qucef 500mg
Curetrax-SS,Tefzone S 1000mg/500mg,Curethro 100mg
Laxoderm 0.01%,Kivitro,Laxodol MR 100mg/4mg
Vaycef 500,Socef 1000mg,Vaycef TZ 250mg/31.25mg
Fevedot 100mg Oral,Himol 100mg Oral,Rhucoxia P 60mg/325mg
Azpar 650,Paraday 650mg,Azpar 100mg/325mg
Dolfed 250mg,Dpcm 650mg,Dolfen-P 50mg/500mg
Labocef 200mg,Luzicef 200mg,Labocet 5mg
Fusirac,Fusi-B,Fusirose
Cozynim P,Rifmol M,Cozynix Plus
Tremaloc 5mg,Prolidine 5mg,Tremasine
Acefinity 200mg,Naid,Acefinity 100mg/4mg
Acefac P 100mg/325mg,Acceclomax-MR,Lupisetron Plus 4 mg/500 mg
Ethems 250mg/250mg,Etanex 250mg/250mg,Blesyl 500mg
Cefmay O 200mg,Imifix 50 Dry,Cefmann O Dry
Sucoric O,Axalfate O,Sucoriv 1000mg
Cefosal 250mg,SMS 250mg,Cefosal 1000mg/500mg
Besixime 100 DT,Refexine 100mg,Besix
Dinotop,Dinokem,Dinotiv Dry
Viocef 50mg Dry,Mazocef 100mg,Cenocef O 200mg/200mg
Bruiser S 1000mg/500mg,Monodose SB 250mg/125mg,Sulbamed 1000mg
Fepra 500mg,Xidol A 200mg,Fepra P 100 mg/325 mg
Aldigesic-SP,Aceriv-MR,Camyfyl 25mg/300mg
New Zephrol Cold,Coldbip DS,NEW ZEET
Otonac-P 100mg/500mg,Endopain,Otonac 200mg
Cefirite 100mg,Silcef Forte 100mg Dry,Ceftas AL 100 mg/30 mg/40 Millioncells
Inicef S 1000mg/500mg,Akceft S 250mg/125mg,Inicef 500mg
Lozin CL 200mg/600mg,Gramocef L 200 mg/600 mg,Lozin 25mg
Cefsul 500 mg/250 mg,Speed SB 500mg/250mg,Cefsung OZ 200mg/500mg
Nataxone 1000mg,Estxone 500mg,Tazo C 250mg/31.25mg
Loftidase AP,Aciclon-P,Loftinec 200mg
Stercef 1000mg,Ronixone 250mg,Stercef S 1000 mg/500 mg
Oncef 200mg,Atoxim 50mg Dry,Voofix Turbo 200mg/600mg
Shinnac Plus 100mg/500mg,Surgimol Plus,Dolopar CC
Tersus-Cold,Histroy,Tersus BR Kid
Fixnic 50mg Dry,Giafix 100mg,Fixnic 200 LB
Ucifix 100mg,Afime Dry,Ucifix LB 200mg/60Million spores
Mefmac-P,Ufipar M,Mefmark 100mg
Siocef 1000mg,Rohzon 500mg,Siocef TZ 1000mg/125mg
Enlacid-O,Sucramal-O,Sur-D
Mitigate-MR,Synoflam P 100mg/325mg,Mitigate 200mg
Spiace-SP,Cyclones-P,Meuzosone-AC
Seridase 50mg/10mg,Diczaris S 50mg/10mg,Seridase 10mg
Reclonac P 100mg/325mg,Acetate P 100mg/325mg,Reclonac-TH 100mg/4mg
Cefrub 200mg,Cifinca 50mg Dry,Cefrun 250mg
Cloxta P 100mg/325mg,Acepil-P 100mg/500mg,C Lox TZ 500mg/600mg
Mefwal Forte 500mg/325mg,Mintagesic P,Tryhigh Plus 100mg/325mg
Remem IT 20mg/150mg,Onrab IT 20mg/150mg,Remem 20mg
K Tron 4mg,Instaset,Ondacid O 40mg/4mg
Sano-P 650,Parafast 120mg/5ml,Sanopan 40mg
Acetal 100mg,Aceclonac 200mg,Acetaent 250mg
Avigel O,Sucromag-O,Avigest 200 Soft Gelatin
Sparflex-P,Chymotis AP,Sparflex-TH4
Trand 4mg,Forsetron 2mg,Trandy 50mg
Amotic,Vomron 2mg,Amotid Clav 200 mg/28.5 mg Dry
Ladex Forte,Mefcrom-P,Ladex Dry
Voofix 100mg Dry,Shifix 50mg,Voofix OX 200mg/200mg
Oxycol 500mg,Lectimox Dry,Oxycool
Cefolip 1000mg/500mg,Suncef S 250mg/125mg,Cefolip 200mg
Rumatin P 100 mg/500 mg,Molfenac ASP,Rumatin 200mg
Adxime 50mg Dry,CFM 200mg,Adxime 250mg
Tyfimol 500mg,Tymol 650mg,Proxym-XT
Kodixam 50mg Dry,Celixim 50mg,Kodixam AZ Dry
Rite-O-Cef 100mg Dry,P Cem 200mg,Aziwok Cef 200 mg/500 mg
Betacef 500mg/250mg,Fevotran S 1000mg/500mg,Betaclo 0.05%
Moxflora 250mg/60Million spores,Yorimox LB 500mg,V-Zole
Cetes 50mg/5ml Dry,Arifix 200mg,Cetes Plus 200mg/200mg
Meflus 500mg/325mg,Hubmef P Plus,Meflux Gel Sugar Free
Zerotuss-D Syrup Sugar Free,Borkuf BR,Zerotuss Oral Suspension Sugar Free
Cloxone S 250mg/125mg,Sulbacef 1gm/0.5gm,Cloxone 250mg
Semac 200mg,Okanac 100mg,Semac P 100mg/325mg
Zenegra Lido,Xylo 2%,Zenegra Red 100mg
Tifmol 500mg,Medomol 300mg,Tifmox 500mg
Secef 400mg,Tolcef 50mg Dry,C Tax OF 200 mg/200 mg
Febnish 650,Migpar 125mg,Osef-P
Parafide,Parlo 100mg/500mg,Parafon
Dalwofen S 50mg/10mg,Dolsan-S,Dalwocef 100mg
Adzo-MF,Cyclospas,Adzomet PG 2
Chlorpromazine 25mg,Talentil 200mg,Chlorest D3 Soft Gelatin
Molbi MF,Meftinac P DS,Monticris LC
Aquasol C Oral,Ascorcee 1500mg,Ascochew Chewable Tablet Orange
Carecef 250mg,Cefonen 1gm,Carecef 200 LB
Welcin M,M-Long DS,Welcin 500mg
Mecef 200mg,Filtim 200mg,Meceft S 1000mg/500mg
Mangolide 50mg,Dsulide 100mg,Skyda 50mg/50mg Soft Gelatin
Dranim 200mg,Nicare 100mg,Dranim P 100mg/325mg
Serous D,Diclopept 50 mg/10 mg,Serous 10mg
Razo IR 20mg/150mg,Rapowish IT 20mg/150mg,Razo IV
Netrab-AP,Metfenac-P,Validay Plus 20 mg/500 mg
Tarizex TZ 200mg/600mg,Ofloren TZ 200mg/600mg,Tarizex 200mg
Zocin 100mg/300mg,Zeloxa-TZ,Zocin DS 100mg/5ml
Nexflam-SP,Acnenix P 100mg/325mg,Relaxone Plus
Ketol 10mg,Kel 0.5%,Kedex
Amsef,NU Axiom 250mg,Amsef S 1000mg/500mg
Nanogesic Forte,Redimef-P-DS,Nanogesic 100mg/325mg
Oriceft 1000mg,Glotex 1000mg,Oriceft S 1000mg/500mg
Sixime 50mg Dry,Afixe DS 50mg,Sixime-O
Scornac P 100mg/325mg,Welldoll P 100mg/325mg,Proxym-XT
Trexcef Dry,Cefibook 200mg,Trexclav Dry
Safenac 100mg,Aceclan 200SR,Safenix 100mg
Kanset 4mg,Emevom 2mg,Kansel-B
Enzoflam D 50 mg/10 mg,Vovituf S 50mg/10mg,Roxid S 150 mg/10 mg
Achnil SP,Chymoking AP 100mg/325mg,Rinosed
Moltas 650mg,Lupipara Forte,Molt-AC
Nkcef S 500mg/250mg,Gxone S 1000mg/500mg,Nkcef 500mg
Hepalo 0.5,E-Vir,HEPALIM 5000IU
Carecef S 250mg/125mg,Aesicef 1000mg/500mg,Elores 2000mg
Zonecure 1000mg,Meditrax 500mg,Zonecard-SB 1.5
Mupifin F,FM Derma,Quikhale FF 250
Saglofen-SP,Nactamol-SP,Saglofen-TH4
F Tri 1000mg,Omcef 500mg,Rajcef S 1000mg/500mg
Ketojan 10mg,Ketro 5,Ketojet 200mg
Novasef-SB 1.5gm,Virexim S 1000mg/500mg,Novastat Asp 20mg/75mg
Dayceft 500mg,Snocef 500mg,Dayceft S 1000mg/500mg
C 37 500mg,Theopl 125mg,Licomol Plus
Zipod X 1000mg,Actocef 500,Vanco Plus 1000 mg/500 mg
Increta 20mg,Genericart Teneligliptin 20mg,Increten M 500mg/20mg
Codxim 100mg,Cefivoiz 50mg Dry,Codxim O 200mg/200mg
Zenfate O,Amcid-OS,Zenfab 40mg
Rulate T 250mg/250mg,Trantas EM 250mg/250mg,Rulate 250mg
Fienson Cold,Contus 650,Brexgyl-D
Cofik S 1000mg/500mg,Cefriv S 1000mg/500mg,Zonbactam 1000mg/500mg
Cetsu 5mg,Nulor 10mg,Cetsun
Hyfipime TZ 1000mg/125mg,Scud XP 250 mg/31.25 mg,Cegava TZ 1000 mg/125 mg
Ilidotrans,Radiagard,Fisofine
Cefolac DT-100,Rovixim 200mg,Cefolac 100mg/500mg
Zifcef 200mg,Fixaction 100mg,Zifcef 500mg
Sectocef 100mg,Frixim 200mg,Cefixrel O Dry
Painfit 100mg/325mg,Fenactive SP,Painfree NP 100mg/500mg
Paral 650mg,Duva 650mg,Epitag Plus 50mg/325mg
Paradize Mds,Ibuprom-MDS,Alanexa MF 500mg/250mg
Zinsulide 100mg,Nimotil,Nam Safe 100 mg/50 mg
Omnitan H,Losact-H 50mg/12.5mg,Zabesta X 2.5 mg/6.25 mg
Tapnac-MR,Xeronac-P,Tapnac-TH
Aciky 200mg,Maxflam 200mg,Aciky-S 100mg/15mg
Emeetrex 1.5gm,Igracef CS 1000mg/500mg,Emeetel H 40mg/12.5mg
Eltrax 1000mg,Kancef 500mg,Eltrazin 10mg
Avitrax S 1000 mg/500 mg,Gettiban-SB,Avitraz 100
Rinomune Forte,Histadol,Rinomune-NC
Nishflam-P,Masonac-SP,Nishflam-R
Acemarc 100mg,Dolochek 100mg,Aceman P
Bremox LB 500mg,Zovax LB 250mg/60Million spores,Bre Mox Dry
Lifecare 250mg,Ceftrilon 250mg,XL V 1000 mg/500 mg
Acnac 200mg,Aceclocare 100mg,Acnac P 100mg/325mg
Betaplan,Clozest MN,Covate-Soft
Rabepep IT 20mg/150mg,Rabclear IT 20mg/150mg,Happi XT 20 mg/75 mg
Raxcef 200mg,Crinux 200mg,Raxcef SB 250mg/125mg
Vobiwin 0.3mg,Vokem 0.2,Vobiwin MF 500mg/0.2mg
Nimucare,Shonim 100mg,Nimucet DL 100mg/325mg
Domar O 2mg,Vomcare 4mg,Renvorab-ON
Doncef SB 1000mg/500mg,Vidacef SB 500mg/250mg,Doncef 1000mg
Ondanak 8mg,Onditron 4mg,Myset Plus
Airwin F2 250,Combihale FF CFC Free 250,Airwin-BF 400
Estac SP,Floace P 100mg/325mg,Estacef Dry
Serose-D 50mg/10mg,Serratech D 50mg/10mg,SEROSTAT 250MG
Sungtop 1000mg,Morxone 250mg,Sungtop S 1000mg/500mg
Cezof 250mg,XL Zone 1000mg,Cezof SB 1000mg/500mg
Affix 200mg,Ceficon 50mg Dry,Affixocold
Movac 15mg,M-Cam 15mg,Divi MP Bolus
ACTION OR 1000mg,Dolxor 100mg Oral,Action 50mg/500mg
Bestogesic Kid 50 mg/125 mg,Parastar M,Coldant
Cefdex 200mg,Laxiflox C 200mg,Cefdex 1000mg
Sucmor-O,Elfate-O,Nikodin S
Safezone Plus,XL One,Safe Z 250mg
Renecef SB 1000mg/500mg,Briscef-S 1.5gm,Renecef O 200mg
Mlofen P,Karinac Plus 100mg/325mg,Melodol
Molora-MF Plus,Ufipar M DS,Molori L 5mg/10mg
Fixicom 50mg,Fixiriv 50mg,Ultifix LB 100 mg
Akilos-P,Relwac-MR,Akilos TH 100mg/4mg
Moxyrax 250,Moxzar LB 500mg,Augwin-LB
Aerodil-DX Syrup Raspberry Sugar Free,Askoff D,Aerodyn-LS
Dbull SP 50mg/10mg,Benodik S 50mg/10mg,Dbull 50mg/325mg
Dnipac-SP,Xynac P 100mg/325mg,D Nipa 100mg/500mg
Qucef S 1000mg/500mg,Cefdex S 1000mg/500mg,Qucef LB 200mg
Rhycenac P 100mg/325mg,Zarynac P 100mg/500mg,Rhycef 250mg
Sudin Kid Plus,Babyrid-P,Sudin Cold
Aconfen 200mg,Niplonac 100mg,Bextrin
Zylocef 50mg Dry,Canxime 50mg Dry,Zylocef 250mg
Tecef-S 250mg/125mg,Overxon S 1000mg/500mg,Tecef
Megamol 650mg,Oromol 150mg,Flupizest P 100mg/325mg
Nochil,Avnac Plus Oral,Rofiz Plus 25mg/500mg
Cut Cold,Codylex Plus 2 mg/325 mg,Cutcold
Chymoheal,Cylonac-SP,Trace Plus 100mg/5000IU
Vicrax,Zatrofix 100mg,Ethixime SB 200mg/150mg
Fluoritop SR Dental Varnish 1.5 ml,Otoflour,Fluoren
Nimulid-MD,Nugesic 100mg,Coldfiz
Clovcef 250mg,Oframax 500mg,XL V 1000 mg/500 mg
Cheston D Syrup Sugar Free,Muccy-DX,Chestodil-M
Bemetil 5mg,Vertiscan 5mg,Bemet-P 15mg/500mg
Maximus 100mg/325mg,Worace Plus,Maximizin 250mg/125mg
Mefnacid-P,Meftagesic P 50mg/125mg,Ibuflam 400mg/500mg
Peracold Plus,Dizakold,Peracin-TZ 4500
Carecef S 250mg/125mg,Ceftovil-S,Carecef LB 50mg Dry
Jencef SS 250mg/125mg,Raxcef SB 250mg/125mg,Jencef 1000mg
Nixasure S 1000mg/500mg,Cefitron S 1000mg/500mg,Nixasure 500mg
Vyofab 0.3mg,Voglikem 0.3,Volix R 0.5mg/0.3mg
Lamdol-SP,Paraever P 100mg/325mg,Nimtin-PR
Tormay-S,Semitor Plus 50mg/20mg,Metolactone 5 mg/50 mg
Vizi DT 100mg,Tofix 400mg,Vizidime 250mg
Volicure 0.2mg,Voglirux 0.3mg,Volicure M 500 mg/0.3 mg
Tranil MR,Riclo-MR,Tranil Plus
Arrestin 100mg,Myorate 100mg,Arrestin P 100mg/500mg
Mycofit 250mg,Emcept 500mg,Mycoflu-L
Lizolid Plus,Myzolix LZ 200mg/600mg,Lizolid 300ml IV
Nyoflam P 100mg/325mg,Runset-SP,Nyoflam 100mg
Notax SB 1000 mg/500 mg,Ultracef-S 1gm/0.5gm,Notax 1gm
Fusij-B,Fusiate B,Fuseal H
Asronac-MR,Aginac-P,Acebel TH 100mg/8mg
Aptacef S 500mg/250mg,Sifzone SB 1000mg/500mg,Aptacid DSR 10mg/20mg
Mox P Kid 250mg,Caprimox Plus,Pangerd HP
Vomilac 2mg,Onsier 8mg,Vomilast-New
Bsnac MR,Yesnec-SP,Bsnac 3D
DR Best Paracetamol 250,Metacin Infant,DR Best Alprazolam 0.5
Aricef O 50mg/5ml Dry,Brime 200mg,Aricep 23 SR
Zetri S 1000 mg/500 mg,Cfast S 250mg/125mg,Zetri 1gm
Apofec MR,Aspira-S,Vicosyl P
Acef 200mg,Cifex 50mg,A Cef 2gm
Rexim 100mg,Apufix 100mg,Rexim 200
Cloxase-P,Jemnac Oral Suspension Mango,Infen P
Cefixime + Moxifloxacin,Aelxim-M 400mg/400mg,Moxitik P
Set HP,Magic-HP,Nupenta CP
Vomiguard 4mg,Isovomi 2mg,Vomigran 3mg
Mezodin,Drez 1%/5%,Enzomac CM Particles
Aixone 1000mg,Orzit 250mg,Aixone SB 1000mg/500mg
Celmol-Kid,Fenbest P 100 mg/500 mg,Celmon-FX
Femcralf O,Sucracure O,Femcralf 1000mg
Sterbio-MD,Vominta Syrup Delicious Orange,Sterbet
Genericart Paracetamol 500mg,Merimol 125mg/5ml,Genericart Losartan Potassium 25mg
